fecha cer,ARTX213=BA,ARTC213=BA,ART2X13=BA,ART2X23=BA,ARTX223=BA,ARTX233=BA,ARTX243=BA,ARTX263=BA,año,mes,dia,fecha cer,cer index,CLOSE,cer año,cer mes,cer dia
2020-05-27,103.0,326.0,97.0,84.7,94.2,85.25,79.49,,2020,5,27,2020-05-27,2020-05-15,21.3336,2020,5,15
2020-05-28,103.25,326.25,99.0,86.0,93.5,85.2,80.0,,2020,5,28,2020-05-28,2020-05-18,21.3644,2020,5,18
2020-05-29,102.05,325.0,100.0,83.75,93.5,85.2,78.65,,2020,5,29,2020-05-29,2020-05-19,21.3747,2020,5,19
2020-06-01,102.35,326.0,97.5,83.0,93.0,85.25,78.3,,2020,6,1,2020-06-01,2020-05-20,21.3849,2020,5,20
2020-06-02,102.0,326.0,98.0,83.0,93.0,84.3,78.19,,2020,6,2,2020-06-02,2020-05-21,21.3952,2020,5,21
2020-06-03,102.35,326.5,98.9,84.0,92.9,84.85,78.1,,2020,6,3,2020-06-03,2020-05-22,21.4055,2020,5,22
2020-06-04,101.65,324.5,100.0,82.5,92.25,83.85,75.85,,2020,6,4,2020-06-04,2020-05-25,21.4363,2020,5,25
2020-06-05,101.5,323.75,99.0,81.98,92.0,82.59,73.6,,2020,6,5,2020-06-05,2020-05-26,21.4466,2020,5,26
2020-06-08,101.65,324.95,97.5,82.4,92.35,82.0,74.65,,2020,6,8,2020-06-08,2020-05-27,21.4569,2020,5,27
2020-06-09,101.0,323.0,97.5,80.5,91.0,80.2,73.1,,2020,6,9,2020-06-09,2020-05-28,21.4673,2020,5,28
2020-06-10,103.4,330.25,99.25,82.8,92.5,83.0,75.5,,2020,6,10,2020-06-10,2020-05-29,21.4776,2020,5,29
2020-06-11,103.9,330.0,100.0,83.0,92.6,82.8,74.9,,2020,6,11,2020-06-11,2020-06-01,21.5085,2020,6,1
2020-06-12,104.75,332.5,99.5,83.7,93.6,84.0,76.5,,2020,6,12,2020-06-12,2020-06-02,21.5189,2020,6,2
2020-06-16,105.6,336.0,101.0,85.75,95.65,86.4,78.75,,2020,6,16,2020-06-16,2020-06-04,21.5395,2020,6,4
2020-06-17,106.0,,102.0,87.5,96.75,89.0,81.7,,2020,6,17,2020-06-17,2020-06-05,21.5499,2020,6,5
2020-06-18,105.85,335.75,101.0,87.0,96.4,88.15,82.0,,2020,6,18,2020-06-18,2020-06-08,21.581,2020,6,8
2020-06-19,107.95,339.0,103.5,87.75,97.75,88.75,83.05,,2020,6,19,2020-06-19,2020-06-09,21.5913,2020,6,9
2020-06-22,108.0,345.0,104.0,90.25,99.0,89.35,83.87,,2020,6,22,2020-06-22,2020-06-10,21.6017,2020,6,10
2020-06-23,108.0,344.5,103.5,90.0,98.95,89.3,83.5,,2020,6,23,2020-06-23,2020-06-11,21.6121,2020,6,11
2020-06-24,108.05,343.25,103.05,90.5,99.35,89.3,83.0,,2020,6,24,2020-06-24,2020-06-12,21.6225,2020,6,12
2020-06-25,108.4,345.0,103.5,89.5,99.0,89.4,83.65,,2020,6,25,2020-06-25,2020-06-15,21.6536,2020,6,15
2020-06-26,108.4,345.65,104.05,90.25,99.0,89.4,83.5,,2020,6,26,2020-06-26,2020-06-16,21.6644,2020,6,16
2020-06-29,109.75,349.0,104.0,92.0,100.5,90.5,84.19,,2020,6,29,2020-06-29,2020-06-17,21.6751,2020,6,17
2020-06-30,110.15,352.4,104.75,92.7,101.35,90.6,84.3,,2020,6,30,2020-06-30,2020-06-18,21.6859,2020,6,18
2020-07-01,110.0,353.0,104.0,94.6,103.0,93.7,85.85,,2020,7,1,2020-07-01,2020-06-19,21.6967,2020,6,19
2020-07-02,109.7,355.0,104.5,95.15,103.2,93.95,86.5,,2020,7,2,2020-07-02,2020-06-22,21.729,2020,6,22
2020-07-03,109.65,350.0,106.0,96.0,103.15,94.35,86.85,,2020,7,3,2020-07-03,2020-06-23,21.7398,2020,6,23
2020-07-06,110.05,350.95,105.75,93.1,102.9,95.5,87.7,,2020,7,6,2020-07-06,2020-06-24,21.7506,2020,6,24
2020-07-07,110.1,350.75,105.0,94.8,103.25,96.15,89.1,,2020,7,7,2020-07-07,2020-06-25,21.7614,2020,6,25
2020-07-08,110.1,353.25,106.0,96.2,102.95,96.6,90.0,,2020,7,8,2020-07-08,2020-06-26,21.7722,2020,6,26
2020-07-13,109.9,352.75,107.0,95.5,102.5,95.9,89.0,,2020,7,13,2020-07-13,2020-07-01,21.8263,2020,7,1
2020-07-14,109.7,351.25,106.75,94.4,102.55,95.0,87.75,,2020,7,14,2020-07-14,2020-07-02,21.8371,2020,7,2
2020-07-15,109.95,353.0,105.0,93.3,102.4,93.5,86.95,,2020,7,15,2020-07-15,2020-07-03,21.8479,2020,7,3
2020-07-16,110.5,352.9,106.0,94.4,103.4,93.99,87.33,,2020,7,16,2020-07-16,2020-07-06,21.8805,2020,7,6
